Latency,Length of Numbers
0.003189624985679984,31
0.002522791997762397,88
0.0023168329789768904,26
0.0023905830166768283,52
0.002627374982694164,90
0.0022535409952979535,30
0.002111959009198472,38
0.0022688340104650706,9
0.002283666981384158,50
0.0024080839939415455,93
0.002026583009865135,18
0.0020050420134793967,4
0.0022763330198358744,2
0.0021026660106144845,7
0.0020450000010896474,25
0.0026084170094691217,34
0.0030559999868273735,66
0.002433457993902266,69
0.0022372090024873614,36
0.0024726249976083636,78
0.0021180830080993474,17
0.0021551249956246465,28
0.0020507079898379743,20
0.0021092079987283796,27
0.002094625000609085,37
0.0021308750146999955,23
0.002163166005630046,10
0.002911707997554913,58
0.0025882079789880663,93
0.0021837079839315265,36
0.0024977910215966403,97
0.002391957998042926,45
0.004580874985549599,27
0.0024148329976014793,35
0.0026257909776177257,74
0.0029392500000540167,96
0.0029968330054543912,18
0.0028485840011853725,58
0.0026704999909270555,7
0.002368916990235448,50
0.0025759999989531934,67
0.002553041005739942,56
0.003044792014406994,35
0.0028972920263186097,9
0.0028188749856781214,47
0.0027012920181732625,49
0.0028662080003414303,90
0.006901209009811282,39
0.004124625003896654,50
0.0033694170124363154,24
0.003609667008277029,83
0.0031640829984098673,38
0.004223334020934999,47
0.002556833002017811,9
0.0025506659876555204,63
0.0035637079854495823,100
0.002455999987432733,10
0.0029686659981962293,58
0.003465165995294228,36
0.003829541994491592,51
0.004485583020141348,4
0.004765833000419661,86
0.005327374994521961,82
0.01567400002386421,96
0.00416833400959149,30
0.0029106670117471367,33
0.006193333014380187,33
0.0024341249954886734,23
0.0034227080177515745,15
0.0029435830074362457,2
0.0032357499876525253,70
0.0029915840132161975,61
0.0029180000128690153,81
0.0036022910207975656,95
0.0027464579907245934,9
0.003478917002212256,32
0.0028719999827444553,41
0.0034642080136109143,16
0.007564500003354624,52
0.003385125019121915,54
0.0028037920128554106,40
0.0023931670002639294,38
0.0020680840243585408,5
0.0021044579916633666,57
0.002034334000200033,15
0.002479332993971184,69
0.002099792007356882,10
0.0022450830147136003,12
0.0022766669862903655,19
0.002459125011228025,72
0.002606416994240135,86
0.0027129590162076056,75
0.002678917022421956,61
0.0029835420136805624,45
0.0033477499964646995,71
0.002321625011973083,32
0.002711542008910328,100
0.002769459009869024,80
0.0024707079865038395,37
0.002624499989906326,86
0.0024135420098900795,8
0.0026279169833287597,50
0.0028154590108897537,41
0.0029237919952720404,78
0.0031705829896964133,67
0.002473667002050206,9
